DFDATE,MC_ID,MODEL,QTY,DEFECT_CODE,DEFECT_DESC,DEFECT_DESC_TH
09/07/24 15:31,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 15:32,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
09/07/24 15:57,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 15:58,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 15:58,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 16:00,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 16:01,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 16:03,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 16:15,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 16:15,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 16:20,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 16:38,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 16:38,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 17:47,PL-242,1P375392-1,6,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 17:53,PL-242,1P375392-1,6,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 18:00,PL-242,1P375392-1,2,PLCAUSE002,M-BROKEN,"แตก, หัก, ร้าว"
09/07/24 18:43,PL-242,1P375392-1,5,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 18:52,PL-242,1P375392-1,3,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 19:30,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 19:52,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
09/07/24 20:30,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 20:56,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 21:38,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 22:30,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 22:50,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 22:54,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
09/07/24 23:21,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 00:48,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 00:49,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 03:35,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 04:00,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 04:06,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 04:23,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 04:54,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 05:24,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 07:34,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 07:46,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 09:00,PL-242,1P375392-1,2,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
10/07/24 09:03,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 09:40,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
10/07/24 10:07,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 10:20,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 10:36,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 10:49,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 11:17,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 12:07,PL-242,1P375392-1,1,PLCAUSE002,M-BROKEN,"แตก, หัก, ร้าว"
10/07/24 12:24,PL-242,1P375392-1,1,PLCAUSE002,M-BROKEN,"แตก, หัก, ร้าว"
10/07/24 12:40,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
10/07/24 14:28,PL-242,1P375392-1,2,PLCAUSE002,M-BROKEN,"แตก, หัก, ร้าว"
10/07/24 14:57,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 15:03,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 15:27,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 15:30,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
10/07/24 16:21,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 16:22,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
10/07/24 16:49,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 17:46,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 17:46,PL-242,1P375392-1,1,PLCAUSE002,M-BROKEN,"แตก, หัก, ร้าว"
10/07/24 20:20,PL-242,1P375392-1,5,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
10/07/24 20:53,PL-242,1P375392-1,5,PLCAUSE008,M-SHORT SHOT,ฉีดไม่เต็ม
10/07/24 23:20,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
10/07/24 23:35,PL-242,1P375392-1,2,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
11/07/24 03:08,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 03:45,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 04:22,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 05:06,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 07:07,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 08:32,PL-242,1P375392-1,2,PLCAUSE012,L-SCRAPE,เสียจากเเม่พิมพ์
11/07/24 08:50,PL-242,1P375392-1,2,PLCAUSE002,M-BROKEN,"แตก, หัก, ร้าว"
11/07/24 08:51,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 09:24,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 09:58,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 10:07,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 10:39,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
11/07/24 11:27,PL-242,1P375392-1,1,PLCAUSE002,M-BROKEN,"แตก, หัก, ร้าว"
11/07/24 11:40,PL-242,1P375392-1,1,PLCAUSE015,M-DEFECT,MASS DEFECT อื่นๆ
11/07/24 12:14,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
11/07/24 16:01,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
11/07/24 17:26,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
11/07/24 17:53,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
11/07/24 17:53,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 18:09,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 18:20,PL-242,1P375392-1,1,PLCAUSE015,M-DEFECT,MASS DEFECT อื่นๆ
11/07/24 19:01,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
11/07/24 21:54,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
11/07/24 22:03,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
11/07/24 23:57,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
12/07/24 03:06,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
